id;court_name;state;zip_code;street_address;longitude;latitude
1;nippy;an toward;31680;sled;once upbeat;composite earthworm anenst
2;advocate previous yesterday;violent;30552;round eek;unimpressively;zowie finally furthermore
3;or weakly valuable;anesthesiologist cribbage;14662;when for roar;cleverly flat unaccountably;mmm longboat because
4;nice;eventually obi wallop;13201;incredible;on;unused
5;for;powerfully surprisingly;2088;frightened;as;merry proper
6;while mostly chop;opposite another throughout;17661;mess where prize;ah anti provided;yet instead
7;round kosher common;bah er;6928;shakily;helplessly;proof-reader
8;failing questionable beside;lest;26312;hm terribly meanwhile;clarity reflecting;cooperative
9;about address;axis;28899;sticker what;inside;fragrant
10;pfft unless impractical;live;32338;tortilla yieldingly;meanwhile knowingly beyond;flog which papa
